"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"4/3/2022 2 a.m. EDT",27683,17839,24102,19161,73163,64422,10722,34590,13614,19451,10937,13921,36293
US48,"4/3/2022 3 a.m. EDT",26193,17701,23764,18076,72624,64262,10794,33120,13376,19309,10305,13877,34657
US48,"4/3/2022 4 a.m. EDT",24925,17820,23630,17447,73015,64268,10517,31720,13213,19161,9831,13886,33712
US48,"4/3/2022 5 a.m. EDT",24024,18109,23674,17271,73077,64201,10723,31319,13208,19292,9405,14017,33031
US48,"4/3/2022 6 a.m. EDT",23376,18700,23884,17419,74079,64041,10615,31219,13418,19377,9131,14184,32825
US48,"4/3/2022 7 a.m. EDT",22921,19629,24429,17951,75334,64890,10838,31320,13785,20041,9052,14825,33035
US48,"4/3/2022 8 a.m. EDT",22886,20593,25143,18871,77031,66607,11112,31958,14214,20900,9077,15469,33564
US48,"4/3/2022 9 a.m. EDT",23008,21184,25706,20847,78571,68058,11211,33158,14630,21927,9140,16056,34249
US48,"4/3/2022 10 a.m. EDT",23241,20945,26267,23128,79002,68636,10893,34513,15141,22304,8924,16161,35715
US48,"4/3/2022 11 a.m. EDT",23328,20468,26424,24627,78964,68262,10613,35826,15646,22154,8915,15813,37235
US48,"4/3/2022 12 p.m. EDT",23483,20032,26489,25630,79002,67677,10332,37169,16015,21872,9207,15293,38925
US48,"4/3/2022 1 p.m. EDT",23251,19887,26522,26594,78929,67676,10160,37708,16181,21747,9229,15074,40395
US48,"4/3/2022 2 p.m. EDT",22897,19768,26707,27668,78474,67669,10538,37381,16185,21758,9238,14916,42048
US48,"4/3/2022 3 p.m. EDT",22572,19651,26764,28653,78684,67644,11192,36970,16105,22012,9426,14731,43614
US48,"4/3/2022 4 p.m. EDT",22040,19810,26845,29516,78393,67737,11792,36484,16111,22587,9762,14579,45282
US48,"4/3/2022 5 p.m. EDT",21938,20176,27102,30089,79034,68376,12442,36101,16342,23101,10129,14627,46985
US48,"4/3/2022 6 p.m. EDT",22153,20659,27463,30373,79419,69790,13086,35840,16749,23463,10592,14951,48387
US48,"4/3/2022 7 p.m. EDT",22648,21053,27848,29597,80675,71085,13462,36289,16956,23473,11203,15199,49258
US48,"4/3/2022 8 p.m. EDT",23731,21606,27917,28913,83264,71477,13698,37042,17196,23355,11885,15433,49001
US48,"4/3/2022 9 p.m. EDT",25578,22337,27858,28848,85499,72487,13346,37650,17174,23866,12237,16121,47614
US48,"4/3/2022 10 p.m. EDT",27586,21540,28213,27228,83839,72699,12593,38064,16578,23503,12466,16248,47256
US48,"4/3/2022 11 p.m. EDT",29528,20172,27500,24929,80606,70495,11652,38614,15725,22264,12546,15708,45779
US48,"4/4/2022 12 a.m. EDT",29845,18858,26193,22287,78055,67245,10814,38314,14847,20789,12217,15009,42898
US48,"4/4/2022 1 a.m. EDT",28992,18054,24862,20070,77169,64460,10591,36537,14245,19989,11584,14461,39579
US48,"4/4/2022 2 a.m. EDT",27259,17717,23900,18563,77507,63072,10571,34362,13879,19312,10970,14143,36891
US48,"4/4/2022 3 a.m. EDT",25530,17821,23396,17671,77500,62384,10454,32604,13658,19067,10189,14265,35048
US48,"4/4/2022 4 a.m. EDT",24320,18206,23288,17334,77907,62119,10701,31572,13638,19207,9630,14481,34022
US48,"4/4/2022 5 a.m. EDT",23529,19000,23295,17578,79010,62041,10769,31376,13915,19398,9308,14952,33684
US48,"4/4/2022 6 a.m. EDT",23195,21024,23665,18840,83075,63993,11388,31650,14840,20676,9065,15817,34004
US48,"4/4/2022 7 a.m. EDT",23163,23986,24857,21060,90487,68387,12771,32061,16257,22750,9039,17333,35553
US48,"4/4/2022 8 a.m. EDT",23734,25317,27080,22387,94580,73871,13444,33452,17029,24675,9326,18793,38141
US48,"4/4/2022 9 a.m. EDT",25093,24721,28470,23603,93546,76814,12782,36353,16951,25393,9878,18925,39632
US48,"4/4/2022 10 a.m. EDT",27451,23678,28782,24921,91347,77775,11783,39075,16666,25186,10137,18391,40189
US48,"4/4/2022 11 a.m. EDT",28806,22911,28786,26147,89968,77958,10991,40276,16429,24761,10147,17799,41187
US48,"4/4/2022 12 p.m. EDT",29003,22232,28737,27203,88407,77941,10899,40780,16187,24948,10150,17355,42201
US48,"4/4/2022 1 p.m. EDT",28142,21799,28634,28579,86680,77461,10715,40712,15950,24684,9906,16929,43535
US48,"4/4/2022 2 p.m. EDT",26799,21607,28547,30162,85686,77007,10606,40380,15809,24549,9959,16588,44602
US48,"4/4/2022 3 p.m. EDT",25697,21300,28600,31157,84702,76780,10375,40289,15824,24806,10065,16376,45452
US48,"4/4/2022 4 p.m. EDT",25172,21295,28502,32446,83807,76043,10315,40186,15967,25113,10379,16264,45916
US48,"4/4/2022 5 p.m. EDT",25181,21699,28316,33263,83895,75325,11566,39751,16366,25582,10790,16242,46367
US48,"4/4/2022 6 p.m. EDT",25406,21939,28289,33387,85029,75229,12529,39609,16895,26140,11276,16483,47164
US48,"4/4/2022 7 p.m. EDT",26129,22445,28458,32899,85718,75561,13209,39874,17211,26205,11814,16580,47528
US48,"4/4/2022 8 p.m. EDT",27082,22892,28592,31929,87517,75831,13773,40160,17618,25788,12458,16852,47131
US48,"4/4/2022 9 p.m. EDT",29064,23506,28608,31518,89037,76846,13579,40623,17541,25927,12722,17234,46871
US48,"4/4/2022 10 p.m. EDT",30701,22570,28874,29451,86701,77003,12789,41303,16846,25142,13016,17018,46815
US48,"4/4/2022 11 p.m. EDT",32385,20996,28191,26800,82617,74249,11742,41609,15859,23626,13053,16252,45375
US48,"4/5/2022 12 a.m. EDT",32512,19491,26820,23959,79709,70665,10845,41170,14874,21933,12683,15153,42934
US48,"4/5/2022 1 a.m. EDT",31404,18549,25659,21512,77321,68461,10555,39414,14165,20888,12071,14364,39773
US48,"4/5/2022 2 a.m. EDT",29357,17990,24740,19879,76367,66569,10294,37078,13760,20416,11354,13736,37244
US48,"4/5/2022 3 a.m. EDT",27537,17793,24251,18941,76069,65749,10206,35399,13524,19947,10548,13501,35656
US48,"4/5/2022 4 a.m. EDT",26111,17881,24024,18466,75942,64606,10271,34410,13493,19861,10015,13302,34614
US48,"4/5/2022 5 a.m. EDT",25031,18416,23903,18593,77340,64190,10665,33862,13792,20083,9631,13543,34425
US48,"4/5/2022 6 a.m. EDT",24511,19772,24327,19735,79798,66095,11289,33703,14638,20777,9372,14127,34949
US48,"4/5/2022 7 a.m. EDT",24334,22190,25441,22011,85734,69665,12754,33937,15913,21809,9278,15295,36629
US48,"4/5/2022 8 a.m. EDT",24847,23199,27378,23366,89841,74888,13127,35657,16729,23130,9517,16563,39677
US48,"4/5/2022 9 a.m. EDT",26374,22886,28432,24872,90412,77288,12160,38628,16906,24068,10100,17041,41141
US48,"4/5/2022 10 a.m. EDT",28419,22380,28663,26686,89274,77859,11082,41520,16666,24819,10337,17186,41970
US48,"4/5/2022 11 a.m. EDT",29305,22374,28722,28656,88098,78156,10686,42626,16270,25407,10265,17356,43088
US48,"4/5/2022 12 p.m. EDT",28932,22188,28753,30590,86772,78014,10626,42830,16042,25922,10312,17333,44855
US48,"4/5/2022 1 p.m. EDT",27941,22428,28703,32863,85763,77795,10642,42254,15736,26525,10197,17260,46743
US48,"4/5/2022 2 p.m. EDT",26894,22702,28685,35150,84936,77394,10700,41291,15605,26481,10274,17031,49390
US48,"4/5/2022 3 p.m. EDT",26175,22734,29009,36628,84162,77173,10677,40671,15439,26069,10495,16876,51888
US48,"4/5/2022 4 p.m. EDT",25880,22740,29163,37961,83739,76864,10927,40119,15412,25604,10950,16879,54072
US48,"4/5/2022 5 p.m. EDT",25812,23156,29414,38900,84359,76747,11492,39483,15824,25246,11529,16858,56222
US48,"4/5/2022 6 p.m. EDT",26460,23552,29904,39266,85357,77191,11961,39292,16402,25232,12174,16875,57966
US48,"4/5/2022 7 p.m. EDT",27012,23702,30224,38311,86395,77468,12931,39184,16898,25019,12774,17020,58477
US48,"4/5/2022 8 p.m. EDT",28300,23751,30152,36664,87547,77566,13534,39488,17255,24965,13455,17231,57251
US48,"4/5/2022 9 p.m. EDT",30693,23549,30013,35831,87969,78157,13331,40172,17119,25418,13731,17558,55342
US48,"4/5/2022 10 p.m. EDT",32533,22522,30099,33344,85024,77953,12547,40607,16358,24930,13825,17406,53952
US48,"4/5/2022 11 p.m. EDT",33721,21051,29326,30344,81145,75050,11500,41419,15336,23787,13755,16619,51649
US48,"4/6/2022 12 a.m. EDT",33598,19505,27797,27040,78108,71282,10605,41391,14398,22409,13311,15633,48086
US48,"4/6/2022 1 a.m. EDT",32285,18453,26272,24311,76299,68559,10510,39634,13698,21486,12544,14819,44311
US48,"4/6/2022 2 a.m. EDT",30146,17806,25291,22449,74419,66875,10570,37437,13283,20595,11702,14272,41307
US48,"4/6/2022 3 a.m. EDT",27935,17510,24705,21365,73493,65822,10571,35769,13039,20195,10850,13823,39260
US48,"4/6/2022 4 a.m. EDT",26461,17367,24375,20849,73255,65423,10448,34879,12978,20190,10160,13799,37786
US48,"4/6/2022 5 a.m. EDT",25616,17706,24272,20904,74684,65642,10736,34588,13204,20460,9676,13769,36837
US48,"4/6/2022 6 a.m. EDT",24968,18880,24680,21959,76745,66412,10831,34732,13999,21020,9439,14183,36485
US48,"4/6/2022 7 a.m. EDT",24692,20954,25792,24105,81886,69373,12250,35574,15455,22174,9332,15291,37481
US48,"4/6/2022 8 a.m. EDT",25128,21930,27812,25368,86021,74482,13157,37303,16514,23606,9493,16356,40042
US48,"4/6/2022 9 a.m. EDT",26450,21950,29051,26955,87219,77064,13381,40458,17063,24160,9997,16660,41146
US48,"4/6/2022 10 a.m. EDT",28386,21929,29120,29188,87226,77755,13332,43255,17267,24720,10164,16666,41450
US48,"4/6/2022 11 a.m. EDT",29200,22050,29172,31697,87014,78469,13262,43928,17253,25291,10140,16580,42098
US48,"4/6/2022 12 p.m. EDT",29486,22367,29225,33891,86441,78730,13182,42864,17093,25865,10228,16759,43057
US48,"4/6/2022 1 p.m. EDT",28729,22797,29136,35992,85905,78788,12920,41568,16823,26257,10249,16683,43822
US48,"4/6/2022 2 p.m. EDT",28245,23266,28974,37523,85340,78838,12902,40012,16715,26739,10417,16739,44388
US48,"4/6/2022 3 p.m. EDT",28275,23774,28910,38635,84502,78880,12966,39142,16625,27024,10747,16654,45297
US48,"4/6/2022 4 p.m. EDT",28529,24428,28770,39474,83966,78394,12943,38355,16550,27410,11292,16768,46075
US48,"4/6/2022 5 p.m. EDT",29419,25024,28662,40110,84304,78223,13151,37556,16673,27599,11852,16834,46844
US48,"4/6/2022 6 p.m. EDT",30165,25517,28821,40149,85359,78359,13548,37205,17119,27645,12521,16955,47617
US48,"4/6/2022 7 p.m. EDT",31576,25713,28863,39163,85591,78380,13801,37069,17292,27454,13111,17054,47827
